Evaluated expression,complexity,seed,F1 score,accuracy,precision,recall
type_TRANSFER,1,0,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_norm(type_TRANSFER, fuzzy_not(oldbalanceDest))",4,0,0.049058035149829315,0.97493,0.02580130336480915,0.49743589743589745
"fuzzy_not(lukasiewicz_conorm(lukasiewicz_s_implication(newbalanceDest, newbalanceOrig), oldbalanceDest))",7,0,0.10430054374691053,0.99396,0.0646050214329455,0.2705128205128205
"fuzzy_not(lukasiewicz_conorm(newbalanceOrig, fuzzy_not(lukasiewicz_norm(type_TRANSFER, fuzzy_not(oldbalanceDest)))))",8,0,0.11604629340006255,0.99058,0.06608478802992519,0.4756410256410256
"lukasiewicz_norm(fuzzy_not(fuzzy_not(fuzzy_not(lukasiewicz_s_implication(fuzzy_not(oldbalanceDest), oldbalanceDest)))), lukasiewicz_conorm(type_TRANSFER, newbalanceDest))",12,0,0.12048513927762229,0.9890016666666667,0.06723189052506322,0.5794871794871795
type_TRANSFER,1,1,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"lukasiewicz_norm(fuzzy_not(oldbalanceDest), newbalanceDest)",4,1,0.025525291828793775,0.947825,0.013080236082309779,0.5256410256410257
"fuzzy_not(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), oldbalanceDest))",5,1,0.049058035149829315,0.97493,0.02580130336480915,0.49743589743589745
"lukasiewicz_norm(fuzzy_not(oldbalanceDest), lukasiewicz_norm(type_TRANSFER, maxDest7))",6,1,0.061254457730228654,0.9850833333333333,0.03335618003198538,0.37435897435897436
"fuzzy_not(lukasiewicz_conorm(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), newbalanceOrig), oldbalanceDest))",7,1,0.11604629340006255,0.99058,0.06608478802992519,0.4756410256410256
"fuzzy_not(lukasiewicz_conorm(fuzzy_not(lukasiewicz_conorm(newbalanceDest, type_TRANSFER)), lukasiewicz_conorm(newbalanceOrig, oldbalanceDest)))",9,1,0.1265638638347396,0.9899933333333333,0.0713816869051526,0.5576923076923077
type_TRANSFER,1,2,0.015157730247094445,0.9159683333333334,0.007696122185857384,0.49743589743589745
"fuzzy_not(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), oldbalanceDest))",5,2,0.049058035149829315,0.97493,0.02580130336480915,0.49743589743589745
"lukasiewicz_norm(fuzzy_not(oldbalanceDest), lukasiewicz_norm(newbalanceDest, type_TRANSFER))",6,2,0.083926453143535,0.9897033333333334,0.04745137491616365,0.3628205128205128
"fuzzy_not(lukasiewicz_conorm(fuzzy_not(type_TRANSFER), lukasiewicz_conorm(newbalanceOrig, oldbalanceDest)))",7,2,0.11604629340006255,0.99058,0.06608478802992519,0.4756410256410256
